,Expected Annual Damage,Expected Number of Deaths,A.5_Expected Number of Deaths,A.5_Expected Annual Damage
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,65742880.93950505,0.012902778351640934,0.0,0.0
25,65742880.93950505,0.012902778351640934,0.0,0.0
26,57622724.0015701,0.0120371482554649,0.0,0.0
27,16247736.80998879,0.002635510234462168,0.0,0.0
28,65742880.93950505,0.012902778351640934,0.0,0.0
29,65742880.93950505,0.012902778351640934,0.0,0.0
30,15796176.549798613,0.003365782485649082,0.0,0.0
31,16247736.80998879,0.002635510234462168,0.0,0.0
32,57622724.0015701,0.0120371482554649,0.0,0.0
33,15796176.549798613,0.003365782485649082,0.0,0.0
34,15796176.549798613,0.003365782485649082,0.0,0.0
35,15796176.549798613,0.003365782485649082,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,12984448.065902287,0.0014651608914762941,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,12984448.065902287,0.0014651608914762941,0.0,0.0
43,0.0,0.0,0.0,0.0
44,12984448.065902287,0.0014651608914762941,0.0,0.0
45,12984448.065902287,0.0014651608914762941,0.0,0.0
46,12984448.065902287,0.0014651608914762941,0.0,0.0
47,12984448.065902287,0.0014651608914762941,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,15796176.549798613,0.003365782485649082,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,15796176.549798613,0.003365782485649082,0.0,0.0
55,15796176.549798613,0.003365782485649082,0.0,0.0
56,0.0,0.0,0.0,0.0
57,15796176.549798613,0.003365782485649082,0.0,0.0
58,15796176.549798613,0.003365782485649082,0.0,0.0
59,15796176.549798613,0.003365782485649082,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
