,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
111,0.012756200702506751,13873720.463406544,0.0,408774070.6009454,30351526.042379983,0.29618158743657874
112,0.0,0.0,0.0,1101641282.1343436,30351526.042379983,0.8276955746012963
113,0.0,0.0,0.0,583143670.5750422,30351526.042379983,0.9996381211202537
114,0.0,0.0,0.0,396693375.0707571,30351526.042379983,0.7040855199126574
115,0.0,0.0,0.0,3632546720.301605,30351526.042379983,1.9422736893513726
116,0.0041980012628852256,4608566.863695905,0.0,2837046112.43429,30351526.042379983,1.8705126953327194
117,0.0,0.0,0.0,1214244167.0400782,30351526.042379983,2.651150368699003
118,0.0,0.0,0.0,219945818.3049386,30351526.042379983,0.29728215104841355
119,0.0,0.0,0.0,2375092123.0948067,30351526.042379983,3.8252229250647525
120,0.0,0.0,0.0,133156388.61870807,30351526.042379983,0.1646260345199744
121,0.0,0.0,0.0,69646509.26619576,30351526.042379983,0.1572505839701862
122,0.0,0.0,0.0,3425292253.428893,30351526.042379983,3.0930670471781903
123,0.0,0.0,0.0,1925842273.7108624,30351526.042379983,3.5213135029795017
124,0.0,0.0,0.0,2741149947.030853,30351526.042379983,1.9475766137416908
125,0.0,0.0,0.0,2016734173.902911,30351526.042379983,1.1887498527482592
126,0.0,0.0,0.0,3520737578.8561616,30351526.042379983,1.8647536986086737
127,0.0,0.0,0.0,1424569398.9592443,30351526.042379983,1.8382014497625785
128,0.0,0.0,0.0,1351909048.320009,30351526.042379983,2.3097460658623463
129,0.0,0.0,0.0,331785395.6077874,30351526.042379983,0.30211379514069947
130,0.0,0.0,0.0,1385032671.330367,30351526.042379983,1.6808664044367099
131,0.0,0.0,0.0,2450780234.819323,30351526.042379983,3.7153210924245417
132,0.0,0.0,0.0,1884329952.5846174,30351526.042379983,3.572048430841257
133,0.0,0.0,0.0,220629614.23885638,30351526.042379983,0.3499187247850157
134,0.0,0.0,0.0,2736885412.5343075,30351526.042379983,2.6089941092813405
135,0.0,0.0,0.0,2130181383.0053082,30351526.042379983,3.8098735139006683
136,0.0,0.0,0.0,1470097188.9871712,30351526.042379983,3.5617446560404717
137,0.0,0.0,0.0,2799800957.3155174,30351526.042379983,1.918388038314377
138,0.0,0.0,0.0,2567817735.9251394,30351526.042379983,3.393521987876252
139,0.0,0.0,0.0,2897441843.283135,30351526.042379983,1.871497022040156
140,0.0,0.0,0.0,1561179835.5022862,30351526.042379983,1.7498467822546724
141,0.0,0.0,0.0,358672722.05934787,30351526.042379983,0.26444402366200426
142,0.0,0.0,0.0,3086724830.9990854,30351526.042379983,1.908644473410182
143,0.0,0.0,0.0,377454823.46926326,30351526.042379983,0.3081623083289437
144,0.0,0.0,0.0,330364608.939048,30351526.042379983,0.2869483376611327
145,0.0,0.0,0.0,2506069865.8801994,30351526.042379983,1.9792130862420287
146,0.0,0.0,0.0,1735618068.632906,30351526.042379983,3.555399247084244
147,0.0,0.0,0.0,2822268301.488027,30351526.042379983,2.1346809204240493
148,0.0,0.0,0.0,2052562965.9409897,30351526.042379983,2.0390452162344537
149,0.0,0.0,0.0,4230069765.0514274,30351526.042379983,4.652621158742396
150,0.0,0.0,0.0,1623460805.697082,30351526.042379983,3.458898643758198
151,0.0,0.0,0.0,1220092135.7323287,30351526.042379983,0.9926720272492601
152,0.0,0.0,0.0,3025238015.4772725,30351526.042379983,3.1936740778092347
153,0.0,0.0,0.0,2997524124.4519386,30351526.042379983,2.6436971051119977
154,0.0,0.0,0.0,2055674971.431894,30351526.042379983,1.8604132563346323
155,0.0,0.0,0.0,3741203798.688018,30351526.042379983,5.088171500511692
156,0.0,0.0,0.0,1509499841.143531,30351526.042379983,2.8557735412137153
157,0.0,0.0,0.0,3072051362.179938,30351526.042379983,2.077365752662229
158,0.0,0.0,0.0,2483777676.0248055,30351526.042379983,2.2742209120674217
159,0.0,0.0,0.0,452115865.4395889,30351526.042379983,0.4280571395074527
160,0.0,0.0,0.0,166068590.23922706,30351526.042379983,0.2126429560101464
161,0.0,0.0,0.0,2126473735.6280353,30351526.042379983,3.589323391951292
162,0.0,0.0,0.0,323398115.4427565,30351526.042379983,0.22841521935019649
163,0.0,0.0,0.0,3502150365.2211413,30351526.042379983,2.3098900988938995
164,0.0,0.0,0.0,2620929461.1275496,30351526.042379983,1.8852165015604414
165,0.0,0.0,0.0,4259874459.9949007,30351526.042379983,4.194994837803289
166,0.0,0.0,0.0,2257792487.692202,30351526.042379983,3.58065204182273
167,0.0,0.0,0.0,2416561766.7990875,30351526.042379983,1.8817900184662069
168,0.0,0.0,0.0,194951913.74881747,30351526.042379983,0.2768325647316705
169,0.0,0.0,0.0,1542525090.6221879,30351526.042379983,2.3199386692946677
170,0.0,0.0,0.0,754273042.6200215,30351526.042379983,1.094960334561192
171,0.0,0.0,0.0,1592964333.134871,30351526.042379983,2.7000283521079083
172,0.0,0.0,0.0,1221725377.7061408,30351526.042379983,0.8408607935807684
173,0.0,0.0,0.0,1156536620.9444094,30351526.042379983,0.8451558215686816
174,0.0,0.0,0.0,2984849808.078844,30351526.042379983,2.035478909354294
175,0.0,0.0,0.0,2452099421.6221285,30351526.042379983,1.9113042225697403
176,0.0,0.0,0.0,44675718.46166892,30351526.042379983,0.07015359900774149
177,0.0,0.0,0.0,1790845931.8250558,30351526.042379983,1.690050204643771
178,0.0,0.0,0.0,818988588.7576299,30351526.042379983,0.6355170727110037
179,0.0,0.0,0.0,990750049.8954272,30351526.042379983,0.7448551480384101
180,0.0,0.0,0.0,186220146.64749593,30351526.042379983,0.21588803342506568
181,0.0,0.0,0.0,1562900640.3421483,30351526.042379983,2.4586384222104045
182,0.0,0.0,0.0,1087575577.1776,30351526.042379983,1.727007635406192
183,0.0,0.0,0.0,2581685428.1065407,30351526.042379983,1.8944356582711146
184,0.0,0.0,0.0,155074864.99957076,30351526.042379983,0.19773455014866503
185,0.0,0.0,0.0,216096628.92691076,30351526.042379983,0.1392730950974605
186,0.0,0.0,0.0,2544756819.1646276,30351526.042379983,1.8604132563346323
187,0.0,0.0,0.0,3327176444.9051685,30351526.042379983,4.011449739668711
188,0.0,0.0,0.0,615644678.122876,30351526.042379983,0.45241895989350256
189,0.0,0.0,0.0,1253934959.2898364,30351526.042379983,1.0007310280964294
190,0.0,0.0,0.0,381377754.5159304,30351526.042379983,0.31790182462939387
191,0.0,0.0,0.0,2561642372.8041773,30351526.042379983,1.7648124979715498
192,0.0,0.0,0.0,121921348.30914997,30351526.042379983,0.12608770517906256
193,0.0,0.0,0.0,1758389297.5186527,30351526.042379983,2.9279446873246933
194,0.0,0.0,0.0,2760808951.3193703,30351526.042379983,3.326550370318529
195,0.0,0.0,0.0,1454035435.3847728,30351526.042379983,1.1680962987287977
196,0.5815676700052119,699029029.7831621,0.0,776474875.1827307,30351526.042379983,0.6661612840613136
197,0.0,0.0,0.0,2561065528.601783,30351526.042379983,1.8845098637719242
198,0.0,0.0,0.0,2000507039.751591,30351526.042379983,1.3396325858015552
199,0.0,0.0,0.0,446667876.3499741,30351526.042379983,0.41158924161902705
200,0.0,0.0,0.0,4801334542.903008,30351526.042379983,4.971520943396704
201,0.0,0.0,0.0,2471049862.5372324,30351526.042379983,2.320818803957424
202,0.0,0.0,0.0,701119563.557087,30351526.042379983,0.4950192486855133
203,0.04646484978540609,49936233.26465707,0.0,275966794.7673263,30351526.042379983,0.22238627778693454
204,0.0,0.0,0.0,46183079.41691433,30351526.042379983,0.052209219211199004
205,0.0,0.0,0.0,3098018771.797516,30351526.042379983,2.485188433205174
206,0.0,0.0,0.0,185044008.2055215,30351526.042379983,0.22234057654325487
207,0.0,0.0,0.0,4054506089.4605536,30351526.042379983,2.109341892367512
208,0.0,0.0,0.0,168876845.76425087,30351526.042379983,0.16542735102689213
209,0.0,0.0,0.0,1124012134.8029153,30351526.042379983,0.9011940189684635
210,0.0,0.0,0.0,2575174124.052583,30351526.042379983,1.9161444532056169
211,0.0,0.0,0.0,152385098.98678496,30351526.042379983,0.17741722832661472
212,0.01084256547120351,9476858.549935944,0.0,956078201.4308809,30351526.042379983,1.4396063720302967
213,0.0,0.0,0.0,223452367.21113193,30351526.042379983,0.22833198853788308
214,0.0,0.0,0.0,1032858000.2207606,30351526.042379983,2.197663418265334
215,0.0,0.0,0.0,2292331772.5482674,30351526.042379983,1.8899590672880162
216,0.0,0.0,0.0,988875000.3144999,30351526.042379983,1.7269686718759638
