,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Expected Number of Deaths
26,196367378.59261498,0.15146128504936454,9401643.588902226,0.010063547027039378,17883635.418996744,0.03584238717729493,0.0,0.0,495382174.2398837,0.48177625333832486,0.0,0.0,0.6791434725920237
27,0.0,0.0,90518774.65169677,0.08404857279156028,0.0,0.0,67471029.89767247,0.0303578796879688,0.0,0.0,0.0,0.0,0.11440645247952907
28,119169538.2533374,0.10063261311299293,678140335.2730042,0.6977742711685029,42785984.95931366,0.08809669338295548,0.0,0.0,0.0,0.0,0.0,0.0,0.8865035776644512
29,0.0,0.0,55518616.89092914,0.05221173308682326,19772709.554404683,0.03547995784371706,0.0,0.0,0.0,0.0,0.0,0.0,0.08769169093054033
30,186673683.93007755,0.12352901901891476,17235936.947911777,0.015280198715518233,596219515.9025922,0.9799860690135667,0.0,0.0,0.0,0.0,0.0,0.0,1.1187952867479996
31,1785740471.4520354,1.1756152323267903,98721051.8187842,0.08624834959292188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2618635819197122
32,2716212292.4725094,1.9500385759087875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500385759087875
33,2538826889.5352135,1.8671613197557413,0.0,0.0,160379763.04702953,0.3008098248455618,0.0,0.0,0.0,0.0,0.0,0.0,2.167971144601303
34,2854887912.5177126,1.5271443324327125,1215952337.7127278,0.8159700504851681,0.0,0.0,9102749.083768433,0.002548439557509324,0.0,0.0,0.0,0.0,2.34566282247539
35,364752132.0201651,0.2758431228739531,0.0,0.0,0.0,0.0,0.0,0.0,78867054.14886028,0.07748676396632176,0.0,0.0,0.35332988684027483
36,3189359079.9220657,1.9672289248285724,468386061.63407576,0.3513395820300369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3185685068586093
37,0.0,0.0,538170630.4073882,0.35823189658919363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35823189658919363
38,0.0,0.0,14134299.132087734,0.01054783034695325,2868203081.6923165,3.592879443680702,0.0,0.0,0.0,0.0,0.0,0.0,3.603427274027655
39,30227429.552839056,0.02851711767273306,168151427.65317753,0.19988228871992453,65404319.24730623,0.14929266434078417,4459223.589224049,0.002649808877601786,0.0,0.0,0.0,0.0,0.3803418796110436
40,2710689589.2841344,1.9450451700501705,247185809.74439156,0.23988701131518192,0.0,0.0,113457657.25525694,0.04358214962153305,0.0,0.0,0.0,0.0,2.2285143309868856
41,0.0,0.0,78702771.48878494,0.08222792885863048,27832146.970254675,0.05597848865631344,0.0,0.0,67395422.27226105,0.06715539016606349,0.0,0.0,0.20536180768100742
42,85792742.02402997,0.06342223109028701,39480936.71689173,0.03848662883524695,0.0,0.0,101665355.90896198,0.045853040257730564,0.0,0.0,0.0,0.0,0.14776190018326452
43,2473017269.823126,1.9157570132615298,7674086.255979767,0.008132394443752789,0.0,0.0,7906875.868645776,0.004061458485848994,0.0,0.0,0.0,0.0,1.9279508661911315
44,3454082147.8756266,1.937900193793501,0.0,0.0,0.0,0.0,32370263.78158424,0.012545679731769637,0.0,0.0,0.0,0.0,1.9504458735252705
45,0.0,0.0,113394397.84217264,0.10521314566489262,2063395225.6008897,3.4354169679043887,0.0,0.0,281617299.4624863,0.22236019370629656,0.0,0.0,3.7629903072755777
46,2508775851.4758186,1.9507574805518146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9507574805518146
47,2773853096.285348,1.9166539534127698,26440316.46469315,0.02375216692245678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9404061203352265
48,3092814171.674774,1.967237086221532,19635619.346746463,0.015254085383906517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9824911716054385
49,0.0,0.0,169907819.50025257,0.16173339451706423,80408182.48701736,0.1479576650348488,27101394.31113916,0.012829766906166915,0.0,0.0,0.0,0.0,0.32252082645807995
50,0.0,0.0,151186680.1125556,0.16580608977524958,678865294.2868147,1.3938206864123777,110201708.8838988,0.055332157286877175,0.0,0.0,0.0,0.0,1.6149589334745045
51,38890662.20418929,0.02851711767273306,495443577.16435254,0.4431186096477926,0.0,0.0,0.0,0.0,822508666.6777923,0.6914221889462611,0.0,0.0,1.1630579162667867
52,1493665432.50514,0.9723126659858073,0.0,0.0,0.0,0.0,147537647.60653812,0.05365764060449822,12217649.95523873,0.009917114740442897,0.0,0.0,1.0358874213307485
53,116167926.13467097,0.0976227656687192,809572521.0358064,0.8160215041259655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136442697946847
54,115321152.37902325,0.06688688104990692,0.0,0.0,1650690576.540982,2.291238407227731,0.0,0.0,0.0,0.0,0.0,0.0,2.358125288277638
55,3003346143.743438,1.9362837327449656,0.0,0.0,0.0,0.0,0.0,0.0,88353687.85268366,0.07523350175635403,0.0,0.0,2.0115172345013197
