,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Deaths
48,1152864055.4523327,0.7694366870169793,464696306.3292483,0.3988024431996978,0.0,0.0,922642.3925182051,0.0004094231313292873,0.0,0.0,0.0,0.0,1.1686485533480064
49,2761225331.7325273,1.708225812086519,0.0,0.0,0.0,0.0,0.0,0.0,65837157.51031446,0.05450298604987329,0.0,0.0,1.7627287981363924
50,55231111.361467406,0.04205566142859771,9692963.804220699,0.010051232862095652,264746480.98796037,0.49922130714389773,63300452.706359595,0.030502875744380986,0.0,0.0,0.0,0.0,0.5818310771789721
51,0.0,0.0,556655025.1036627,0.4249310382798124,0.0,0.0,3356010.972863496,0.0012381105967624233,0.0,0.0,0.0,0.0,0.4261691488765748
52,2425176294.30986,1.685104066423853,70799383.98400332,0.061242031334094844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746346097757948
53,2615260945.0633535,1.6936895168979178,0.0,0.0,0.0,0.0,1014265.8482794714,0.0004581955366942143,59200660.85533765,0.05105236477126039,0.0,0.0,1.7452000772058724
54,2493141037.977668,1.705649880318643,57276002.40846335,0.051671413141853875,0.0,0.0,3253050.525668635,0.0014287180830038731,106968511.01362866,0.09132989960850531,0.0,0.0,1.850079911152006
55,3186619597.412807,1.6940905653919478,989895064.8132496,0.64729925479465,655428811.6507432,0.8532731078150031,0.0,0.0,0.0,0.0,0.0,0.0,3.194662928001601
56,2587016198.6521826,1.6707233397699885,241865210.93680596,0.1978946891416365,1731303742.4999409,2.7470895813708642,0.0,0.0,0.0,0.0,0.0,0.0,4.615707610282489
57,51135424.45621601,0.040913817839662955,160037126.51543078,0.16410988654923614,0.0,0.0,2704918.590619609,0.0013889856764568713,0.0,0.0,0.0,0.0,0.20641269006535598
