,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,0.0,0.0,0.0,2532453906.2047863,30351526.042379983,3.0390226320668625
1,0.18941292586023067,164919345.59755445,0.0,385025349.5281451,30351526.042379983,0.3876143091715737
2,0.0,0.0,0.0,1490905556.5800912,30351526.042379983,1.3776341026486658
3,0.0,0.0,0.0,2140085338.0024714,30351526.042379983,1.33445871162955
4,0.0,0.0,0.0,1129718443.8779268,30351526.042379983,0.702431625566069
5,0.0,0.0,0.0,830461814.1803179,30351526.042379983,0.6972180898531064
6,0.0,0.0,0.0,1706191075.0118215,30351526.042379983,2.5912886703432627
7,0.0,0.0,0.0,1701557962.3045862,30351526.042379983,2.4789205316699703
8,0.0,0.0,0.0,209371631.84050912,30351526.042379983,0.2474402314172247
9,0.0,0.0,0.0,996782678.0186657,30351526.042379983,1.5837303626444195
10,0.0,0.0,0.0,2728973746.1707444,30351526.042379983,1.9244382562384619
11,0.0,0.0,0.0,446138093.86610913,30351526.042379983,0.6731793361882212
12,0.0,0.0,0.0,294023006.6022203,30351526.042379983,0.21190972513576675
13,0.0,0.0,0.0,2211446172.7762513,30351526.042379983,1.3087014496428524
14,0.0,0.0,0.0,1357199319.6618998,30351526.042379983,2.4685427989382984
15,0.0,0.0,0.0,2192423126.9694743,30351526.042379983,1.3780318687958868
16,0.0,0.0,0.0,1610438638.437261,30351526.042379983,1.420251833279298
17,0.0,0.0,0.0,787388184.9380689,30351526.042379983,0.8089862293872371
18,0.0,0.0,0.0,1921242928.1814756,30351526.042379983,1.3523514187846233
19,0.0,0.0,0.0,600135099.4829655,30351526.042379983,0.585010156758598
20,0.0,0.0,0.0,2526087916.8567014,30351526.042379983,1.6823440387328121
21,0.0,0.0,0.0,2267051357.1445284,30351526.042379983,1.3244758881864374
22,0.0,0.0,0.0,770205542.3360677,30351526.042379983,0.5978656924367647
23,0.0,0.0,0.0,2269939716.9799223,30351526.042379983,1.327123643816754
24,0.0,0.0,0.0,1848953793.565914,30351526.042379983,1.3866245445770682
25,0.0,0.0,0.0,1871313674.1149223,30351526.042379983,2.669614432532678
26,0.0,0.0,0.0,3535601443.521637,30351526.042379983,3.419215160203826
27,0.0,0.0,0.0,1531491758.4631143,30351526.042379983,2.869916749501158
28,0.0,0.0,0.0,2159170432.337592,30351526.042379983,1.349286611337414
29,0.0,0.0,0.0,2067655210.6015928,30351526.042379983,1.3383756686329211
30,0.0,0.0,0.0,129534294.28977418,30351526.042379983,0.17294834979642054
31,0.0,0.0,0.0,2390760759.485388,30351526.042379983,1.7337321388318865
32,0.0,0.0,0.0,96106577.13873178,30351526.042379983,0.12913221854567547
33,0.0,0.0,0.0,3411079121.4613085,30351526.042379983,3.747868253627171
34,0.0,0.0,0.0,2232673559.56068,30351526.042379983,1.3978292771076835
35,0.0,0.0,0.0,327019504.06176,30351526.042379983,0.3486570942327709
36,0.0,0.0,0.0,2631544255.5682235,30351526.042379983,1.6087319278398649
37,0.0,0.0,0.0,296262793.11283356,30351526.042379983,0.2720828466533072
38,0.0,0.0,0.0,86088858.78663045,30351526.042379983,0.09009129009752256
39,0.5905424555572915,624862643.2473576,0.0,1116612537.9855227,30351526.042379983,1.5076840154678153
40,0.0,0.0,0.0,202405545.2818733,30351526.042379983,0.16178944725319663
41,0.0,0.0,0.0,483835341.1179145,30351526.042379983,0.4319941535849619
42,0.0,0.0,0.0,483393061.15149,30351526.042379983,0.4242743008550294
43,0.0,0.0,0.0,1037373573.4979887,30351526.042379983,0.794293662033698
44,0.0,0.0,0.0,2629132951.710417,30351526.042379983,3.4080187304703493
45,0.0,0.0,0.0,2349471934.521171,30351526.042379983,1.7171547456077934
46,0.014294218785532655,14324436.769079294,0.0,444671410.0212107,30351526.042379983,0.7411496065344418
47,0.0,0.0,0.0,92360789.3610534,30351526.042379983,0.07995469992678733
48,0.0,0.0,0.0,2289847322.568214,30351526.042379983,1.341091962044392
49,0.0,0.0,0.0,2564282173.585153,30351526.042379983,2.014107749510422
50,0.0,0.0,0.0,1892862239.1716661,30351526.042379983,1.4816608489962182
51,0.0,0.0,0.0,2152559354.6746173,30351526.042379983,1.3441493750993896
52,0.0,0.0,0.0,114362709.363887,30351526.042379983,0.24775349778683808
53,0.0,0.0,0.0,1212089108.6123881,30351526.042379983,2.0989282410930596
54,0.0,0.0,0.0,71484164.04171097,30351526.042379983,0.0789478376314296
55,0.0,0.0,0.0,2587106793.43036,30351526.042379983,1.5627229872949524
56,0.0,0.0,0.0,819209969.1904187,30351526.042379983,0.6111256378192987
57,0.0,0.0,0.0,1964029599.737532,30351526.042379983,1.396454095256102
58,0.0,0.0,0.0,1938740634.6301854,30351526.042379983,1.3379874813758161
59,0.0,0.0,0.0,1703425507.5584533,30351526.042379983,2.457593898417855
60,0.0,0.0,0.0,1844838874.365403,30351526.042379983,2.6128274224734254
61,0.0,0.0,0.0,2010396153.0922687,30351526.042379983,2.5698201645120156
62,0.0,0.0,0.0,175837784.0372592,30351526.042379983,0.1887370538534524
63,0.0,0.0,0.0,455477682.5118921,30351526.042379983,0.3587778705985222
64,0.0,0.0,0.0,1517719287.0391896,30351526.042379983,1.4094313452471028
65,0.0,0.0,0.0,303015455.42928493,30351526.042379983,0.21935282000598788
66,0.0,0.0,0.0,1903240936.5723722,30351526.042379983,1.3371651416681898
67,0.0,0.0,0.0,2704845455.723369,30351526.042379983,2.942676350533654
68,0.0,0.0,0.0,2618565543.67404,30351526.042379983,1.485707822008499
